text,clean_text,Cluster,CategoriaAutomatica,CategoriaN1,CategoriaN2,CategoriaN3
 4 PURPLE FLOCK DINNER CANDLES,purple flock dinner candles,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
 50'S CHRISTMAS GIFT BAG LARGE,christmas gift bag large,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
 DOLLY GIRL BEAKER,dolly girl beaker,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
 I LOVE LONDON MINI BACKPACK,love london mini backpack,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
 I LOVE LONDON MINI RUCKSACK,love london mini rucksack,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
 NINE DRAWER OFFICE TIDY,nine drawer office tidy,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
 OVAL WALL MIRROR DIAMANTE,oval wall mirror diamante,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
 RED SPOT GIFT BAG LARGE,red spot gift bag large,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
 SET 2 TEA TOWELS I LOVE LONDON,set tea towels love london,5,"set, cards, lights, paper, vintage",Party & Events,Party Sets,Vintage Cards & Lights
 SPACEBOY BABY GIFT SET,spaceboy baby gift set,5,"set, cards, lights, paper, vintage",Party & Events,Party Sets,Vintage Cards & Lights
 TOADSTOOL BEDSIDE LIGHT,toadstool bedside light,3,"holder, light, hanging, heart, glass",Home Decor,Candle Holders,Hanging Glass Holder
 TRELLIS COAT RACK,trellis coat rack,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
*Boombox Ipod Classic,boombox ipod classic,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
*USB Office Mirror Ball,usb office mirror ball,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
10 COLOUR SPACEBOY PEN,colour spaceboy pen,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
12 COLOURED PARTY BALLOONS,coloured party balloons,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
12 DAISY PEGS IN WOOD BOX,daisy pegs wood box,0,"red, box, retrospot, vintage, small",Gifts & Packaging,Gift Boxes,Vintage Small Box
12 EGG HOUSE PAINTED WOOD,egg house painted wood,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
12 HANGING EGGS HAND PAINTED,hanging eggs hand painted,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
12 IVORY ROSE PEG PLACE SETTINGS,ivory rose peg place settings,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
12 MESSAGE CARDS WITH ENVELOPES,message cards envelopes,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
12 PENCIL SMALL TUBE WOODLAND,pencil small tube woodland,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
12 PENCILS SMALL TUBE RED RETROSPOT,pencils small tube red retrospot,0,"red, box, retrospot, vintage, small",Gifts & Packaging,Gift Boxes,Vintage Small Box
12 PENCILS SMALL TUBE SKULL,pencils small tube skull,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
12 PENCILS TALL TUBE POSY,pencils tall tube posy,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
12 PENCILS TALL TUBE RED RETROSPOT,pencils tall tube red retrospot,0,"red, box, retrospot, vintage, small",Gifts & Packaging,Gift Boxes,Vintage Small Box
12 PENCILS TALL TUBE SKULLS,pencils tall tube skulls,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
12 PENCILS TALL TUBE WOODLAND,pencils tall tube woodland,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
12 PINK HEN+CHICKS IN BASKET,pink hen chicks basket,2,"pink, polkadot, flower, flock, cover",Home Decor,Floral & Craft Decor,Pink Polkadot Floral
12 PINK ROSE PEG PLACE SETTINGS,pink rose peg place settings,2,"pink, polkadot, flower, flock, cover",Home Decor,Floral & Craft Decor,Pink Polkadot Floral
12 RED ROSE PEG PLACE SETTINGS,red rose peg place settings,0,"red, box, retrospot, vintage, small",Gifts & Packaging,Gift Boxes,Vintage Small Box
15 PINK FLUFFY CHICKS IN BOX,pink fluffy chicks box,2,"pink, polkadot, flower, flock, cover",Home Decor,Floral & Craft Decor,Pink Polkadot Floral
15CM CHRISTMAS GLASS BALL 20 LIGHTS,cm christmas glass ball lights,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
16 PC CUTLERY SET PANTRY DESIGN,pc cutlery set pantry design,5,"set, cards, lights, paper, vintage",Party & Events,Party Sets,Vintage Cards & Lights
16 PIECE CUTLERY SET PANTRY DESIGN,piece cutlery set pantry design,5,"set, cards, lights, paper, vintage",Party & Events,Party Sets,Vintage Cards & Lights
18PC WOODEN CUTLERY SET DISPOSABLE,pc wooden cutlery set disposable,5,"set, cards, lights, paper, vintage",Party & Events,Party Sets,Vintage Cards & Lights
2 DAISIES HAIR COMB,daisies hair comb,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
2 PICTURE BOOK EGGS EASTER BUNNY,picture book eggs easter bunny,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
2 PICTURE BOOK EGGS EASTER CHICKS,picture book eggs easter chicks,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
2 PICTURE BOOK EGGS EASTER DUCKS,picture book eggs easter ducks,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
20 DOLLY PEGS RETROSPOT,dolly pegs retrospot,0,"red, box, retrospot, vintage, small",Gifts & Packaging,Gift Boxes,Vintage Small Box
200 BENDY SKULL STRAWS,bendy skull straws,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
200 RED + WHITE BENDY STRAWS,red white bendy straws,0,"red, box, retrospot, vintage, small",Gifts & Packaging,Gift Boxes,Vintage Small Box
3 BIRDS CANVAS SCREEN,birds canvas screen,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3 BLACK CATS W HEARTS BLANK CARD,black cats w hearts blank card,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3 DRAWER ANTIQUE WHITE WOOD CABINET,drawer antique white wood cabinet,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3 GARDENIA MORRIS BOXED CANDLES,gardenia morris boxed candles,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3 HEARTS HANGING DECORATION RUSTIC,hearts hanging decoration rustic,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3 HOOK HANGER MAGIC GARDEN,hook hanger magic garden,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3 HOOK PHOTO SHELF ANTIQUE WHITE,hook photo shelf antique white,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3 PIECE SPACEBOY COOKIE CUTTER SET,piece spaceboy cookie cutter set,5,"set, cards, lights, paper, vintage",Party & Events,Party Sets,Vintage Cards & Lights
3 PINK HEN+CHICKS IN BASKET,pink hen chicks basket,2,"pink, polkadot, flower, flock, cover",Home Decor,Floral & Craft Decor,Pink Polkadot Floral
3 RAFFIA RIBBONS 50'S CHRISTMAS,raffia ribbons christmas,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,raffia ribbons vintage christmas,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
3 ROSE MORRIS BOXED CANDLES,rose morris boxed candles,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3 STRIPEY MICE FELTCRAFT,stripey mice feltcraft,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3 TIER CAKE TIN GREEN AND CREAM,tier cake tin green cream,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3 TIER CAKE TIN RED AND CREAM,tier cake tin red cream,0,"red, box, retrospot, vintage, small",Gifts & Packaging,Gift Boxes,Vintage Small Box
3 TIER SWEETHEART GARDEN SHELF,tier sweetheart garden shelf,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3 TRADITIONAl BISCUIT CUTTERS  SET,traditional biscuit cutters set,5,"set, cards, lights, paper, vintage",Party & Events,Party Sets,Vintage Cards & Lights
3 TRADITIONAL COOKIE CUTTERS  SET,traditional cookie cutters set,5,"set, cards, lights, paper, vintage",Party & Events,Party Sets,Vintage Cards & Lights
3 WHITE CHOC MORRIS BOXED CANDLES,white choc morris boxed candles,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3 WICK CHRISTMAS BRIAR CANDLE,wick christmas briar candle,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
